"id_origin","hour","dow","viajes"
"0827906",11,2,25496.597
"0827906",11,3,28038.138
"0827906",11,4,25647.697
"0827906",11,5,26889.52
"0827906",11,6,30832.341
"0827906",11,7,27154.413
"0827906",12,1,26079.574
"0827906",12,2,28239.633
"0827906",12,3,29099.777
"0827906",12,4,26813.26
"0827906",12,5,27502.906
"0827906",12,6,31557.871
"0827906",12,7,27841.39
"0827906",13,1,30270.083
"0827906",13,2,32189.486
"0827906",13,3,32562.439
"0827906",13,4,30782.355
"0827906",13,5,31815.999
"0827906",13,6,32947.572
"0827906",13,7,31168.115
"0827906",14,1,30747.401
"0827906",14,2,33203.67
"0827906",14,3,33651.588
"0827906",14,4,32525.738
"0827906",14,5,34796.905
"0827906",14,6,28642.912
"0827906",14,7,26293.093
"0827906",15,1,28600.571
"0827906",15,2,31354.742
"0827906",15,3,33684.834
"0827906",15,4,30800.206
"0827906",15,5,32687.316
"0827906",15,6,24807.091
"0827906",15,7,22132.806
"0827906",16,1,28639.386
"0827906",16,2,31351.597
"0827906",16,3,31386.183
"0827906",16,4,31199.668
"0827906",16,5,32328.163
"0827906",16,6,29042.574
"0827906",16,7,23009.002
"0827906",17,1,32632.829
"0827906",17,2,34383.813
"0827906",17,3,34311.615
"0827906",17,4,35043.618
"0827906",17,5,33096.752
"0827906",17,6,29480.934
"0827906",17,7,24200.726
"0827906",18,1,32915.016
"0827906",18,2,33408.992
"0827906",18,3,34004.53
"0827906",18,4,34226.192
"0827906",18,5,32921.876
"0827906",18,6,29866.566
"0827906",18,7,25074.643
"0827906",19,1,31594.063
"0827906",19,2,33018.084
"0827906",19,3,36138.747
"0827906",19,4,34030.854
"0827906",19,5,32094.467
"0827906",19,6,28623.997
"0827906",19,7,24796.868
"0827906",20,1,29774.219
"0827906",20,2,30948.509
"0827906",20,3,31940.571
"0827906",20,4,30048.096
"0827906",20,5,30697.095
"0827906",20,6,27812.291
"0827906",20,7,25757.458
"0827906",21,1,25818.988
"0827906",21,2,26480.103
"0827906",21,3,26769.019
"0827906",21,4,26240.771
"0827906",21,5,26442.365
